Geo Point;Geo Shape;gml_id;id;nom;code_insee;nom_com;longitude;latitude
47.67361459304445, -2.064492018699983;"{""coordinates"": [-2.064492018699983, 47.67361459304445], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000043;D562000043;Zone Cap Nord;35236;Redon;-2.064492;47.673615
48.60804138559548, -3.2712007411913464;"{""coordinates"": [-3.271200741191346, 48.60804138559548], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500624;D221500624;PEDERNEC Sornel;22310;Saint-Laurent;-3.27105;48.60804
48.40787615825987, -2.624062387327026;"{""coordinates"": [-2.624062387327026, 48.40787615825987], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500906;D221500906;St-Blaise chapelle;22258;Quessoy;-2.6239421;48.407887
48.495628124311295, -2.7503423753102942;"{""coordinates"": [-2.750342375310294, 48.495628124311295], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221501013;D221501013;ST BRIEUC Proust;22278;Saint-Brieuc;-2.749593;48.494778
48.48521227015075, -2.681627927908184;"{""coordinates"": [-2.681627927908184, 48.48521227015075], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221501324;D221501324;Val Josselin;22389;Yffiniac;-2.6816669;48.485226
48.20139318724751, -2.9880375989469643;"{""coordinates"": [-2.988037598946964, 48.20139318724751], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500474;D221500474;Pl. Ste-Suzanne;22158;Guerlédan;-2.9878535;48.201588
48.56712381154994, -3.8227726809999774;"{""coordinates"": [-3.822772680999977, 48.56712381154994], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29504533;D29504533;Lycée Tristan Corbière;29207;Plourin-lès-Morlaix;-3.8227727;48.567123
48.165074210523585, -1.190859826306718;"{""coordinates"": [-1.190859826306718, 48.165074210523585], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D352657;D352657;BALAZE Croix Verte;35015;Balazé;-1.1911963;48.164597
47.584494201800496, -3.0826995650230997;"{""coordinates"": [-3.0826995650231, 47.584494201800496], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000387;D562000387;Place Illertissen;56034;Carnac;-3.082676;47.584488
48.43930385990503, -2.156092424317591;"{""coordinates"": [-2.156092424317591, 48.43930385990503], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221501317;D221501317;Mairie;22388;Vildé-Guingalan;-2.1560578;48.439255
47.91664323155689, -4.363387865724205;"{""coordinates"": [-4.363387865724205, 47.91664323155689], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29504740;D29504740;Bourg;29214;Plovan;-4.363438;47.91662
48.19145874031698, -2.411683792790591;"{""coordinates"": [-2.411683792790591, 48.19145874031698], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35ARCOM@MERMAI;D35ARCOM@MERMAI;Merdrignac Mairie;22147;Merdrignac;-2.41167;48.1915
47.681954395074534, -2.7653832448105824;"{""coordinates"": [-2.765383244810582, 47.681954395074534], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.DREGLRRNS:ST:VAN1D1;DREGLRRNS:ST:VAN1D1;Vannes Kerniol;56206;Saint-Avé;-2.765265;47.682167
48.326299999048345, -1.8422399999999657;"{""coordinates"": [-1.84224, 48.326299999048345], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35ARCOM@TINCPUB;D35ARCOM@TINCPUB;Tinténiac Collège Public;35337;Tinténiac;-1.84224;48.3263
48.54646420584978, -3.395391957599942;"{""coordinates"": [-3.395391957599942, 48.54646420584978], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500019;D221500019;Collège;22005;Belle-Isle-en-Terre;-3.395392;48.546463
48.57117642864996, -4.419271114299969;"{""coordinates"": [-4.419271114299969, 48.57117642864996], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29501967;D29501967;Bourg;29093;Kernilis;-4.419271;48.571175
47.783279471245095, -2.1062110921999584;"{""coordinates"": [-2.106211092199958, 47.783279471245095], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000127;D562000127;La Chapelle-Gaceline/Église;56061;La Gacilly;-2.1062112;47.78328
48.24818710965807, -4.41940036938156;"{""coordinates"": [-4.41940036938156, 48.24818710965807], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29501016;D29501016;Tal ar Groas - Route de Crozon;29042;Crozon;-4.4193554;48.24818
48.19930906921532, -1.733929827816648;"{""coordinates"": [-1.733929827816648, 48.19930906921532], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35MEZMONT2;D35MEZMONT2;La Mézière /Montgerval;35177;La Mézière;-1.73396;48.1993
47.698101905647846, -2.9028182004180243;"{""coordinates"": [-2.902818200418024, 47.698101905647846], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000054;D562000054;Plumergat/Mériadec St-Roch;56176;Pluneret;-2.9028525;47.69804
48.45401235784645, -2.048124006909059;"{""coordinates"": [-2.048124006909059, 48.45401235784645], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500175;D221500175;Place Duclos;22050;Dinan;-2.0481224;48.454014
